word,mean_importance,frequency,total_importance
after,0.01250189475993541,2,0.02500378951987082
than,0.02432988307460075,1,0.02432988307460075
rounded,0.024304786647127475,1,0.024304786647127475
17,0.011889243510902456,2,0.023778487021804913
be,0.023193519378581214,1,0.023193519378581214
Bustan,0.022808401040177544,1,0.022808401040177544
unknown,0.022200479390237973,1,0.022200479390237973
mukhtars,0.021601708245428775,1,0.021601708245428775
26,0.021427126484224304,1,0.021427126484224304
rockets,0.021373318613933722,1,0.021373318613933722
1,0.007075074903251416,3,0.02122522470975425
when,0.010542760692376604,2,0.021085521384753208
targeting,0.020839881580325043,1,0.020839881580325043
security,0.020790800511137405,1,0.020790800511137405
vehicle,0.020617075075795382,1,0.020617075075795382
poppy,0.020469182604180278,1,0.020469182604180278
fierce,0.019656973290323405,1,0.019656973290323405
leader,0.01946657516171106,1,0.01946657516171106
Kaja,0.019318115007526157,1,0.019318115007526157
City,0.01907849203913108,1,0.01907849203913108
funeral,0.01890154307919299,1,0.01890154307919299
13,0.009441272260968171,2,0.018882544521936342
his,0.01770437203944444,1,0.01770437203944444
News,0.01741622753289337,1,0.01741622753289337
Rang,0.01724301299131189,1,0.01724301299131189
confirmed,0.016937321640509057,1,0.016937321640509057
31,0.016792968680383116,1,0.016792968680383116
Khak,0.01675208433742607,1,0.01675208433742607
Sahib,0.016584134879087088,1,0.016584134879087088
religious,0.016496508065041705,1,0.016496508065041705
locality,0.016370698373872228,1,0.016370698373872228
5,0.003840200313612061,4,0.015360801254448244
they,0.015341337876745029,1,0.015341337876745029
retaliated,0.007640618119909976,2,0.015281236239819952
RPG,0.01522614441131873,1,0.01522614441131873
December,0.007114369447862305,2,0.01422873889572461
June,0.004742158785221725,3,0.014226476355665176
claiming,0.013344173102656301,1,0.013344173102656301
Koh,0.013287761744719725,1,0.013287761744719725
28,0.01287835554633584,1,0.01287835554633584
ammunition,0.012514156995229148,1,0.012514156995229148
October,0.01244785450790306,1,0.01244785450790306
inside,0.012417411104748408,1,0.012417411104748408
morning,0.012141082309991714,1,0.012141082309991714
Zirkoh,0.011960981155097883,1,0.011960981155097883
abducted,0.011941779669682469,1,0.011941779669682469
February,0.011759843228197508,1,0.011759843228197508
government,0.01066440315304131,1,0.01066440315304131
number,0.010644378163133674,1,0.010644378163133674
